,Average User Rating,Number of Votes,Liked by
B00C5X4146,4.722222222222222,18,17
B000HBMP82,3.4166666666666665,12,7
B002Q6GGZO,4.0,9,7
B00BO2OU90,4.492537313432836,67,58
B008KKOGRA,3.9885057471264367,174,126
B004T6SBEI,4.285714285714286,7,6
B0096QX6GY,4.571428571428571,7,7
B0074R0TOE,3.5,6,4
B00JRHNKJA,4.7272727272727275,11,11
B008H1NSJY,3.7142857142857144,7,4
B00GQ9HWB4,4.090909090909091,11,10
B0032DQQX2,4.184210526315789,38,29
B008UQ8CYM,4.380952380952381,21,17
B00JX4USZ6,4.866666666666666,15,15
B003TPBF1G,4.8,5,5
B003SYNIDG,3.8333333333333335,6,3
B002SOXB3O,3.4,5,3
B00BBET7W6,4.333333333333333,6,6
B00AJ36B1K,4.2,5,4
B00APLOM62,4.055555555555555,18,14
B005LBEA6I,5.0,11,11
B005ZGPP8Q,4.8,5,5
B005LY553M,4.875,8,8
B00H5I8MNM,4.947368421052632,19,19
B0082BYQRC,4.1,10,8
B005XGXFQ2,3.4634146341463414,41,23
B005JEG3YY,3.6,5,3
B003TULUMK,3.7058823529411766,17,12
B009ZWT6UY,4.833333333333333,6,6
B00ERDE7UA,4.166666666666667,6,4
B00CCWPVYE,4.714285714285714,7,7
B00HUL0AD4,4.875,16,16
B00A13EE08,4.3076923076923075,13,11
B007CA38J6,2.4,10,3
B004L1CDQI,4.6,5,5
B00CLA78TI,4.076923076923077,13,10
B00AA281D6,3.261904761904762,42,18
B005XRFRNU,3.5555555555555554,9,6
B00KCZO2WK,4.967741935483871,31,31
B0002F7I94,2.3333333333333335,6,1
B009CEZGKE,3.8666666666666667,15,11
B003DM4KLW,4.1,10,6
B00IMJQ1P4,5.0,6,6
B00BR772P6,4.2,5,4
B005F9X6VQ,5.0,5,5
B00DK3DC6I,4.090909090909091,11,8
B0078JX8KU,4.8,5,5
B00C5OKUVS,3.0,8,2
B004CCRVHW,4.2,5,4
B0081WNEF2,4.7,10,9
B005T0DT2W,4.142857142857143,21,17
B000E95OAI,3.5,6,3
B005Y5VX7U,4.1,30,23
B004LOBXZ2,4.407407407407407,27,22
B00FGJ6YLO,4.636363636363637,11,10
B009Y82LB0,4.24,25,19
B009OZ1GMI,4.2,5,4
B003V64M7M,3.95,20,13
B006U2NNBU,4.741935483870968,31,31
B00B2V7MGG,4.0,5,4
B00KHADRZS,4.9,20,20
B0055S212C,2.4,5,2
B0044ZQXIA,3.04,25,12
B00B9OTEVM,3.619047619047619,21,13
B00E5CBHCE,4.257142857142857,35,28
B005EMBXQ4,4.6,5,5
B00IKUT5JE,4.508196721311475,61,58
B0076Z3GMG,4.388888888888889,18,15
B007K3RPGM,4.176470588235294,51,39
B007HBOP5G,3.9298245614035086,114,84
B003FGWGPS,4.291666666666667,48,40
B00871PHFW,4.083333333333333,24,18
B00A9T7IPM,4.4,5,4
B008XV7VTG,4.681159420289855,69,64
B00GUB849C,4.2,10,7
B008RBJKGO,3.4285714285714284,14,8
B00DZAXV6M,4.3125,16,13
B004KVTNYE,4.933333333333334,15,15
B004L46XWA,5.0,7,7
B00CMNJ46Y,3.68,25,16
B006M7I96W,3.75,12,8
B004361W6S,5.0,6,6
B009UWT7PI,4.181818181818182,11,9
B003TULUI4,3.611111111111111,108,68
B00FX6LRG2,4.615384615384615,26,25
B003O76EE2,4.454545454545454,11,9
B004TS1JZY,3.3333333333333335,6,3
B006ANU7JA,3.6,5,3
B00ENPFBQG,4.8,5,5
B0076NP16M,4.8,10,10
B003ZZZB9C,3.8333333333333335,6,5
B00D5DJKFK,4.625,8,8
B00CXFMZPS,4.8125,16,16
B00C9GNBOU,4.4,5,4
B0089NQF22,4.1,30,23
B00A7O4TN8,3.5,6,3
B003FWLZTK,3.4,35,20
B009NIDBD8,3.3333333333333335,9,5
B002KG0HXW,2.5714285714285716,7,3
B00I053ICY,4.818181818181818,11,11
B00APLA6JY,3.7142857142857144,7,4
B004TV8FJO,4.0,5,4
B005LALOKY,3.4857142857142858,35,19
B008RBI8L2,3.888888888888889,9,6
B00DMKGPP4,4.648044692737431,179,165
B000S0B9ZC,3.9285714285714284,14,9
B005XBCCZ2,3.857142857142857,7,4
B00F9G20LM,4.142857142857143,14,11
B008VMT2DK,3.5555555555555554,9,6
B0050SGRQS,4.875,8,8
B00AA81MHC,4.375,8,7
B001DK9LB0,4.052631578947368,19,15
B004WEIH28,4.2727272727272725,11,9
B001B8YN9E,4.583333333333333,12,11
B00B79B9SA,4.888888888888889,9,9
B007NF7AV2,3.9615384615384617,26,17
B00A45SF94,4.266666666666667,30,25
B005SUHPKA,4.545454545454546,22,18
B00DRH8B2W,3.8181818181818183,11,8
B008DJ3142,4.285714285714286,7,5
B00CPWN6J8,3.7142857142857144,7,5
B000PI17MM,3.3333333333333335,6,3
B0088K57I4,3.8,10,7
B005YW2AS4,3.8,5,3
B0060AHUB6,4.1875,16,14
B004L08BAG,3.588235294117647,34,21
B007ZWK7PE,3.2222222222222223,9,3
B00AYBNQ7Y,3.869565217391304,23,15
B001ETRNAQ,3.5,6,4
B001WTEHI4,4.333333333333333,6,4
B00FFIGLTQ,4.0,8,5
B009IJD9HU,4.666666666666667,9,8
B009A6D3ZO,4.545454545454546,11,10
B007DAJONO,4.454545454545454,11,10
B0050TOC5K,4.166666666666667,6,4
B00JM59JPG,4.6,10,10
B0042PQ1GG,4.2,5,4
B003UIKXVK,4.0476190476190474,21,15
B00HRKI5V2,4.75,8,8
B00865HSQK,3.6,5,4
B009LULYGE,3.1666666666666665,6,3
B00ESJGMTW,4.363636363636363,11,10
B005PTUP9W,4.2,5,4
B005SHQHSE,4.6,5,5
B004BSF1I8,3.9545454545454546,22,15
B008G6P870,5.0,8,8
B002UUTCKC,4.0344827586206895,29,21
B00927VMEK,3.75,12,8
B00BKEQBI0,3.8133333333333335,75,48
B0045WZ0T0,3.5,10,6
B008XD0D4O,4.6,5,5
B00BZULO4K,4.0,9,7
B00FUXV6QO,3.225806451612903,31,14
B004THND5O,3.8,5,3
B00CPACP24,3.5294117647058822,17,10
B008X74EUO,4.515151515151516,66,59
B00HGZ247O,4.617647058823529,34,32
B002U1N84C,3.0,11,4
B0098DXZKM,3.8,10,6
B009T73I4K,3.4,5,3
B00BI69BE6,3.142857142857143,7,3
B006NMV59E,4.208333333333333,24,18
B00EO984NI,4.833333333333333,12,11
B000WJ528E,4.5,6,5
B00B5HQ588,3.5384615384615383,13,8
B00BFQ36P4,4.6,5,4
B00470ERYO,4.222222222222222,27,21
B008D57412,3.911111111111111,45,32
B00788MBWW,4.230769230769231,13,11
B003BO0N2C,4.0,14,9
B001321FX0,4.4,5,4
B00CF39SB2,4.666666666666667,6,6
B005XQNKLW,4.6,5,4
B009AFG5JQ,4.28,25,20
B009SJGD4G,4.25,12,10
B003UJSKQY,4.166666666666667,6,5
B00545C3WO,3.4,5,3
B00AKR9L8U,3.6666666666666665,9,6
B001N2EU64,3.875,8,5
B002TY2E8G,3.4615384615384617,13,6
B00C7J5ZC0,4.794117647058823,34,33
B004DR8PW6,3.25,20,11
B00AA5CK6M,4.166666666666667,6,4
B00A47545K,3.2857142857142856,7,3
B006LFXEP6,4.380952380952381,42,37
B008AYYPAO,3.8,5,4
B004WGNTM4,4.583333333333333,12,11
B00DXD4UIE,4.0,5,3
B00CT6H0FG,4.0,6,4
B00B61ZZB6,4.583333333333333,36,34
B003R6KW02,3.0,11,3
B00656X0LO,4.666666666666667,6,5
B00A40BOBA,5.0,5,5
B00GOKA8K2,1.8888888888888888,9,1
B000VUGZIK,3.0,5,2
B002KAS262,4.0,5,4
B006671H0S,3.857142857142857,7,5
B0084S70Q2,3.5714285714285716,14,9
B007YYUUA0,2.5833333333333335,24,7
B005AYW66W,3.7777777777777777,9,5
B000EM8REU,3.6666666666666665,9,5
B000G2TLIO,4.2,5,5
B004KT8YIW,4.333333333333333,6,4
B00IWHBXSQ,4.0,13,12
B00B26ZSL2,4.151515151515151,33,27
B009WUVHKQ,4.5,10,8
B006K42POE,4.333333333333333,18,15
B00DPIJRK8,3.5833333333333335,12,7
B00BTYACJ0,3.6,5,3
B00B59OCZE,4.142857142857143,7,5
B00G3KN9LI,4.3076923076923075,13,11
B006YJC7J8,3.5714285714285716,7,5
B005QDL60E,3.375,8,4
B00A7LOTUY,4.4,5,4
B0049XVN6E,4.212121212121212,33,26
B006YJBITS,4.6923076923076925,39,38
B00FQF91UE,3.8,30,20
B009HCSKM2,3.8461538461538463,39,26
B006GYTTOM,4.6,5,4
B00ASVCY46,4.222222222222222,18,15
B00H50DVPE,4.777777777777778,9,9
B00AHSW9UY,4.0,65,47
B00B1N3QOM,3.375,8,4
B009T9QCWI,4.75,12,12
B008S2A3KO,3.0,5,2
B005YFDCZG,2.5,6,2
B0048NVI42,3.7142857142857144,7,3
B008OZ0Y2M,4.142857142857143,7,6
B008PTQ8I6,3.2941176470588234,17,9
B00KZ0RPB2,4.888888888888889,9,9
B00B1G8FDQ,3.0,9,4
B008OSESSA,3.9696969696969697,33,24
B00526TWE2,4.083333333333333,12,10
B008DN0QIM,3.8461538461538463,13,7
B0089GMM7Q,4.333333333333333,6,6
B00404XAOU,4.444444444444445,9,8
B00DSQSAEQ,4.333333333333333,21,18
B005VNJQHE,3.761904761904762,21,14
B005FNL0J2,3.8,5,3
B006HDAC9S,4.6923076923076925,13,13
B004OZMWUS,4.813953488372093,43,42
B007ODPCD6,3.090909090909091,22,9
B005OW4AWS,3.8055555555555554,36,24
B009NB3MRA,4.285714285714286,7,5
B004Z9W4B0,4.076923076923077,13,10
B006R9UXHS,4.6,5,5
B007ZUN6GS,4.0625,16,12
B00C96CGNM,4.866666666666666,15,14
B00CQAODG4,4.0,8,6
B00EKW33IU,3.9166666666666665,12,9
B0061QPOS0,4.461538461538462,13,11
B003LNBQ3I,4.0,5,3
B00ATHLUTO,5.0,11,11
B00G0NXUKI,4.8,5,5
B009LRN2SK,4.625,8,8
B009S4FMAM,4.024390243902439,41,32
B00AW6YFG2,4.25,8,7
B008IGIB4A,4.0625,16,11
B008GSYGT4,3.909090909090909,11,8
B00KTBOUWO,4.8,5,5
B004AUSD50,4.391304347826087,23,20
B0047KZ1P8,4.0,8,7
B00CIZFK9G,4.0,15,10
B009X25Z10,4.625,64,60
B0068DHE4I,3.8,5,3
B00E5Q5BCC,4.454545454545454,11,9
B009O883QM,4.375,8,7
B0092HNN8I,4.029411764705882,34,24
B005ZVVJ1I,4.7,10,9
B00CE1P5US,4.428571428571429,7,7
B003L2VERC,3.857142857142857,56,39
B004ZSMDR6,4.269230769230769,26,20
B005AMTYLY,4.428571428571429,7,7
B006JHUEMM,4.0,8,6
B008G767PG,4.8,5,5
B00AR4M04S,4.194444444444445,36,29
B004E75R3K,3.4285714285714284,7,4
B00A2XFECE,4.0,17,13
B004N79HGO,4.387096774193548,31,27
B00JAOFPZW,3.75,8,5
B00A9LNT3U,4.166666666666667,12,9
B0095R2YEY,5.0,10,10
B009BLSUCO,4.142857142857143,7,6
B00L2JZZJE,4.428571428571429,7,6
B0098T897A,4.6,5,5
B00BPZZH7K,4.142857142857143,21,15
B006WC0U4G,4.516129032258065,31,28
B0094CX5M0,3.8333333333333335,24,14
B004Q1CZ16,4.125,8,7
B00CJY8ZSO,4.528735632183908,87,78
B0012J52OC,4.5,14,12
B00EM5PN9M,3.9583333333333335,24,17
B006F88Y6S,3.6875,32,19
B003UO175U,3.8,5,4
B00H8ASMXC,4.166666666666667,6,4
B003SE6N60,4.545454545454546,11,10
B00567ZUP2,3.4444444444444446,9,5
B004VTY0XY,4.571428571428571,7,6
B00E8GYIRI,4.666666666666667,6,6
B005NFVLQE,4.2727272727272725,11,9
B00D99ZBR6,4.0,5,4
B006JKAS9I,4.0,5,4
B007Z494P6,4.633333333333334,30,27
B00GG5F936,4.0,8,6
B0026NO5DW,4.0,5,4
B00CSVGSL4,4.333333333333333,27,22
B004T0GHOU,3.6422018348623855,109,67
B004763IJ8,4.0,20,15
B008BAJDF4,3.3,10,5
B00IH5VVHQ,4.333333333333333,6,5
B008CKXMO6,4.4,5,4
B000KZW7L0,3.4285714285714284,7,4
B00ANW2OPY,5.0,6,6
B008BHYB4K,3.7142857142857144,7,5
B004E9SZP0,3.125,16,9
B005M3518G,4.454545454545454,11,10
B009GB6DBO,4.2,25,21
B00FU5MZI0,3.4285714285714284,7,5
B00FNJ3VO0,5.0,16,16
B004B8KSL8,4.222222222222222,9,6
B006Q78ZEY,4.0,18,13
B00ANSUFQI,4.333333333333333,9,8
B008ZE6PJS,4.222222222222222,9,8
B009X9Z16W,4.166666666666667,6,4
B0097BEG1C,4.346153846153846,182,150
B001SEAOC6,3.8,25,15
B0044M35L6,4.166666666666667,6,5
B00AB09YHE,4.571428571428571,7,6
B007N9NJ0Y,3.933333333333333,30,21
B009C45V54,3.6315789473684212,19,12
B00B4KO6Y6,4.4,5,4
B0058W4KAG,4.75,8,8
B008IRBWUO,3.92,50,36
B00996T912,4.2,5,3
B000W1PW96,4.0,6,4
B00AYSBRMI,3.6,5,3
B00A1Z3U3S,4.083333333333333,12,9
B006YCORR0,4.137931034482759,58,42
B008U0XSY2,4.8,25,24
B00IOEHC0U,4.666666666666667,9,9
B00FTULQJU,3.875,16,10
B004IEH7FA,3.9411764705882355,17,11
B00BJH1BXI,4.071428571428571,14,11
B001QD3MQE,3.7142857142857144,7,4
B0004OPNTA,2.6666666666666665,12,5
B00A9GAS98,3.2,10,3
B00D2ZQ6Q2,3.7049180327868854,61,41
B002M3TLLC,2.6447368421052633,76,14
B005QA8UHO,3.3,10,4
B00C4RD5SG,4.142857142857143,7,6
B006BBK46M,4.285714285714286,7,6
B007ZZ43DS,4.4,5,4
B0056HHXV6,4.318181818181818,22,19
B00HUIL310,4.5,16,14
B008OOAU5Y,4.4,5,4
B004WX48J0,3.6666666666666665,12,7
B005RS1D9W,3.1666666666666665,6,3
B009MS2EK0,3.2,5,3
B00GVLH8CA,2.8333333333333335,6,2
B001DDG2FA,4.8,5,5
B0089PJQ44,4.571428571428571,7,7
B00850981E,4.5,30,25
B00CC1G0JK,3.3333333333333335,21,9
B009S40LOY,5.0,6,6
B004EKCU1E,4.0,7,5
B0078JG9EC,4.6,5,5
B006MBMBTY,4.166666666666667,18,13
B0057LM18Q,3.9,10,7
B00JKU5E0M,5.0,5,5
B0030VENLS,3.75,12,8
B004VNJJKO,4.416666666666667,12,10
B00ANZSJ9Q,4.634146341463414,41,39
B007NTYQ1A,3.9565217391304346,23,17
B00ESJGNBO,4.454545454545454,11,11
B00DFCT77M,3.888888888888889,9,5
B003XHZPXY,3.25,8,4
B006P5BIVE,3.7142857142857144,7,4
B00IR57TLS,5.0,19,19
B006EC5X6O,4.1686046511627906,172,130
B00DMT2ZRW,3.4285714285714284,7,3
B00A7BPMMS,3.0,7,2
B0091D0EBC,4.0,6,4
B006Z16EVC,4.0,7,5
B00F0UM4MC,4.25,8,6
B00GN0AO34,4.607142857142857,28,27
B00404UR3C,4.3931623931623935,117,101
B00CC4R58W,4.0,16,12
B005FMLXW2,3.5217391304347827,23,13
B00A73DX9K,3.3333333333333335,6,3
B005VNKB7S,4.258620689655173,58,46
B00DZ0J74W,4.882352941176471,17,17
B00C54HTBM,3.3333333333333335,12,6
B004FPYL56,3.25,8,3
B007V7TURY,4.6,5,5
B0036WTD4S,4.285714285714286,7,5
B00FF4HHQG,2.0,5,1
B006ZRYPS0,4.125,8,6
B00FKLON1G,4.6,5,4
B009AB557I,4.304347826086956,23,18
B0047ELBOE,3.4,5,2
B009QW3SGQ,3.875,24,16
B008YJ7K2K,4.111111111111111,18,13
B00BJL133C,4.619047619047619,21,19
B004YLZC9K,4.8,5,5
B009QW3SGG,2.8,5,2
B0051PH9H6,4.4,10,8
B009WQ7V00,4.571428571428571,7,6
B00CCCDPP6,4.142857142857143,7,5
B00GOHV7JQ,4.777777777777778,9,9
B006CBH0QI,4.266666666666667,15,12
B00CGVF73Q,4.142857142857143,21,19
B00DRLA5OU,4.375,40,34
B0016J9U0K,3.0,5,2
B00JP0W4OG,5.0,6,6
B0043RTM1O,4.5,10,9
B004YKZQ2E,3.4,5,3
B00B0OAHZI,4.4,5,5
B004XDTXZI,4.125,16,13
B00DR9UXZ8,4.5,6,5
B00GFGL0XE,3.8,15,9
B009F4XM5M,4.0,5,3
B00FGLL1WY,3.8,5,4
B004MB66B0,4.136363636363637,22,17
B00CM6ZMXA,4.285714285714286,7,6
B0069R13JA,3.6666666666666665,6,3
B00629POXG,4.6,5,5
B000A1329U,3.3333333333333335,15,8
B009IV1DKI,4.3125,16,12
B003C2T0C2,4.24,25,21
B0087Y3BLG,5.0,7,7
B00EXL4Y5O,3.8333333333333335,6,3
B0041F42H2,3.909090909090909,11,8
B006RO5Q8O,4.163934426229508,61,48
B009AGAFGO,4.153846153846154,13,10
B003UU1NRQ,3.7777777777777777,18,12
B00485CGHS,4.571428571428571,7,7
B007XCHWI6,3.25,8,5
B00CL8XDF8,3.8181818181818183,11,7
B00HYIS4OK,4.857142857142857,7,7
B0085QYDQI,4.0,7,5
B006PA8C9U,3.8,5,2
B006CY7TVQ,4.333333333333333,18,16
B008A7JLHS,4.8,5,5
B00634HDXE,4.37037037037037,27,23
B003VIWI08,4.625,8,7
B005LTO0O2,3.380952380952381,42,21
B00EW2PR0A,4.111111111111111,9,7
B006OT2UQS,4.333333333333333,6,5
B009KY5JA8,4.833333333333333,18,18
B0058O0ANU,4.181818181818182,11,7
B004IEIWKY,3.7222222222222223,18,11
B00CGKUD6S,3.1666666666666665,6,3
B004ZMXQH8,4.0,13,9
B0025KV6LU,4.571428571428571,7,7
B00BU3I5K8,4.0,7,4
B009B70IAA,4.666666666666667,9,8
B008CJT82C,4.2,5,4
B0026LQL40,4.166666666666667,12,10
B00KGLLT62,4.714285714285714,7,7
B00CZ6H2SA,3.7142857142857144,14,9
B00GZ7P0LQ,4.2,5,4
B0046S3D3I,4.416666666666667,12,10
B009V15X56,4.4,5,4
B004PNVNV8,3.9245283018867925,53,39
B00IDI70SQ,4.666666666666667,21,21
B00FEPDRF6,3.619047619047619,42,23
B003K7F82K,3.75,8,5
B0051UH9Q2,4.181818181818182,11,9
B006GAP82S,4.9,10,10
B006Z1NVF4,3.2857142857142856,7,3
B0041MEU4A,3.606060606060606,33,19
B003TTC96W,2.8333333333333335,6,3
B008Q1DLPQ,5.0,6,6
B005YVTHF4,3.7777777777777777,9,5
B00F3J4B5S,4.045454545454546,22,16
B00GCFSLFS,4.615384615384615,13,12
B0054ERNW0,4.166666666666667,6,4
B0097FP54A,3.5714285714285716,7,4
B0054HA45A,4.25,8,6
B008Z78BO2,4.166666666666667,12,9
B00D94RCV4,4.401785714285714,112,97
B00GR9X532,4.7272727272727275,11,10
B00C6POWME,4.538461538461538,13,11
B008AJHSQW,4.411764705882353,17,13
B008Y8WE5E,3.7777777777777777,18,13
B004CU1VW0,4.120689655172414,58,43
B005Y0J1Z6,4.25,12,10
B00HB52UVY,4.166666666666667,6,4
B00GM5NA36,4.514285714285714,35,31
B008KU20MS,4.444444444444445,9,8
B00FEQ12PC,3.875,8,5
B00CDZU40Q,4.615384615384615,13,12
B004I68YRS,3.4,5,2
B00891EYEA,4.0,12,8
B009LYV95Q,3.4166666666666665,12,7
B008CL16L6,4.571428571428571,7,6
B008U4VOW6,4.538461538461538,13,12
B005FU6C16,1.75,8,0
B00BUA69Q8,4.421052631578948,38,32
B008D4X4GW,4.462686567164179,134,116
B003Y7G5ZU,4.428571428571429,7,6
B004E329L2,2.7714285714285714,35,11
B00GZK5U68,3.6,15,9
B00AFO2BX0,4.2727272727272725,11,8
B008BATJ6W,4.225806451612903,31,25
B004OBYWBO,3.8666666666666667,15,9
B006W1BSHU,3.875,8,5
B00DECC1AI,4.142857142857143,7,5
B007PKO54U,4.166666666666667,12,8
B0095YN9MI,4.6,5,5
B006QYY8DY,3.0,6,3
B00EKXGIKE,4.666666666666667,6,5
B004WIRBBW,3.2,5,2
B008UNV3I2,4.375,8,7
B0088JSS0O,4.615384615384615,13,12
B00BKXZHIQ,4.428571428571429,7,6
B0073YC5ZE,4.454545454545454,11,10
B00HPZZ4DQ,4.285714285714286,7,6
B006W1H2EI,4.62962962962963,27,26
B00JDAIMQ2,4.7407407407407405,27,25
B00ES4XFV0,3.357142857142857,14,8
B004889CKO,3.1923076923076925,26,14
B005R5TQXK,4.5,12,11
B008ZFG0HO,3.2,5,3
B004W7S1D0,3.423076923076923,26,14
B0074Y9RLS,4.75,12,12
B00BVGF6JC,3.5,8,4
B003TWOEE4,4.4,10,10
B0098NVN2E,4.285714285714286,7,5
B009ZT8CZ2,3.375,8,3
B00B4I2GJU,4.481481481481482,27,22
B00JMPXK4W,4.25,8,6
B002YDZSQM,3.25,8,5
B0055JCJH8,3.4,5,1
B0051U1Y4A,4.285714285714286,7,6
B004JRJG82,4.666666666666667,6,6
B00B2UUVF6,3.6,5,3
B003U0K26O,4.076923076923077,13,10
B0051U1Y4K,4.181818181818182,11,9
B005SY3YSS,4.166666666666667,6,5
B00IZOU1JS,4.857142857142857,7,7
B00C3DKSRM,4.714285714285714,14,13
B008FBEZDO,3.988095238095238,84,58
B004M5IUHY,4.081081081081081,37,30
B003OE30KQ,3.875,56,38
B002WG8SLS,3.962962962962963,27,21
B00413VMH2,4.166666666666667,6,5
B00ATUG3FC,3.5714285714285716,7,4
B006H9Z27O,4.333333333333333,9,7
B0044WJUDS,4.076923076923077,13,8
B006M9L1A6,4.4,5,4
B004369G9S,3.6,5,2
B00EN8I6LK,2.6923076923076925,13,4
B00F4FGTV0,4.0,5,3
B00DBIMB00,4.666666666666667,9,8
B003XKS4WA,4.583333333333333,12,11
B00A9YRW4O,4.294117647058823,17,15
B006HUKUIO,4.166666666666667,6,5
B00DM9AQG4,3.75,16,11
B00E2TT8W6,4.62,100,96
B003YTV0C6,3.6666666666666665,6,4
B009EB8M1U,4.833333333333333,6,6
B0046EDK2Q,4.277777777777778,18,15
B009F7TJN8,4.08,25,19
B00GOKACLC,3.0,12,5
B0099F8XSI,4.428571428571429,7,6
B001OA3BAG,4.0,7,5
B0018RBETU,3.727272727272727,11,6
B00B9PBE1Y,3.3125,16,7
